Time (s),Entropy
155.4,1.6496
155.45,1.5572
155.5,1.4331
155.55,1.6197
155.6,1.4293
155.67,1.3389
155.72,1.5218
155.77,1.5131
155.82,1.4101
155.86,1.5267
155.92,1.5286
155.97,1.5572
156.02,1.6841
156.05,1.5417
156.08,1.3575
156.12,1.4975
156.18,1.3328
156.23,1.7453
156.26,1.3675
156.3,1.4101
156.34,1.5647
156.38,1.4178
156.41,1.2933
156.48,1.4607
156.54,1.4357
156.59,1.5924
156.63,1.5924
156.67,1.4774
156.73,1.3938
156.79,1.5191
156.83,1.2525
156.87,1.3465
156.9,1.3289
156.94,1.3725
156.97,1.3423
156.98,1.3790
157.01,1.4638
157.05,1.2784
157.1,1.4369
157.18,1.5639
157.24,1.5793
157.29,1.4331
157.34,1.5286
157.36,1.6835
157.42,1.3790
157.49,1.6841
157.54,1.8037
157.6,1.5520
157.65,1.5190
157.7,1.4893
157.73,1.6529
157.77,1.4642
157.8,1.4655
157.86,1.4369
157.9,1.1973
157.97,1.3640
158.01,1.1789
158.03,1.4352
158.05,1.2454
158.07,1.4357
158.1,1.3421
158.14,1.2256
158.15,1.2561
158.23,1.2468
158.28,1.2784
158.32,1.4101
158.36,1.7100
158.41,1.4297
158.44,1.5490
158.47,1.4331
158.49,1.4845
158.52,1.2961
158.55,1.3097
158.59,1.3069
158.63,1.3220
158.67,0.9947
158.71,1.1954
158.75,1.4369
158.78,1.3514
158.84,1.4242
158.9,1.7127
158.92,1.7167
158.96,1.1257
159.02,1.5612
159.05,1.5267
159.09,1.4084
159.13,1.4764
159.18,1.4642
159.21,1.6735
159.25,1.5727
159.31,1.4981
159.36,1.6841
159.42,1.4331
159.48,1.6449
159.53,1.5924
159.58,1.4045
159.62,1.5885
159.66,1.4242
159.71,0.9435
159.77,1.7479
159.82,1.4357
159.86,1.5662
159.92,1.6048
159.98,1.5001
160.03,1.6781
160.07,1.5647
160.12,1.5362
160.17,1.5777
160.24,1.6102
160.3,1.6815
160.33,1.5001
160.35,1.6125
160.39,1.3945
160.47,1.6583
160.52,1.4841
160.55,0.9852
160.61,0.9710
160.67,0.7755
160.74,1.1267
160.77,1.2811
160.79,1.2789
160.81,1.4617
160.85,1.2728
160.86,1.3731
160.9,1.2454
160.91,1.3423
160.93,1.4528
160.96,1.2678
161.0,1.2240
161.02,1.3640
161.04,1.4975
161.07,1.2647
161.1,1.5793
161.14,1.4464
161.2,1.4101
161.23,1.6529
161.27,1.5911
161.32,1.4242
161.36,1.5190
161.39,1.5447
161.47,1.1788
161.54,0.9947
161.6,0.9852
161.65,0.9994
161.7,1.3046
161.78,1.6028
161.82,1.5491
161.85,1.3228
161.89,1.4197
161.97,1.6281
162.03,1.5846
162.06,1.5911
162.11,1.3659
162.15,1.5625
162.19,1.5161
162.26,1.6421
162.33,1.6449
162.41,1.5190
162.47,1.5639
162.53,1.5235
162.58,1.3439
162.62,1.1720
162.64,0.9976
162.68,0.9976
162.72,1.1775
162.75,1.3675
162.77,1.2542
162.79,1.3987
162.84,1.0821
162.91,1.6549
162.96,1.5131
163.01,1.4293
163.08,1.4617
163.14,1.5267
163.19,1.5293
163.24,1.6483
163.29,1.5846
163.31,1.4642
163.34,1.3465
163.38,1.2525
163.42,1.5625
163.45,1.5733
163.5,1.6125
163.68,2.1929
163.75,1.5624
163.81,1.6055
163.86,1.4981
163.91,1.5333
163.97,1.4666
164.01,1.4510
164.06,1.3397
164.11,1.6449
164.17,1.5924
164.23,1.5924
164.29,1.7358
164.35,1.5924
164.4,1.6171
164.46,1.5286
164.52,1.6835
164.54,1.2442
164.57,0.9906
164.6,0.9976
164.63,0.9906
164.68,0.9947
164.73,0.9982
164.77,1.2678
164.8,1.1053
164.84,1.3097
164.87,1.3631
164.89,1.2454
164.92,1.2728
164.95,1.3219
164.99,1.3097
165.03,1.4642
165.09,1.5267
165.14,1.1687
165.17,1.5924
165.21,1.4591
165.25,1.5911
165.3,1.4638
165.32,1.6529
165.34,1.3505
165.39,1.5040
165.43,1.5727
165.46,1.5054
165.49,1.2607
165.52,1.0352
165.67,1.6150
165.75,1.4380
165.81,1.6210
165.85,1.5625
165.93,1.6835
165.98,1.6389
166.03,1.4178
166.07,1.5579
166.1,1.5441
166.15,1.4591
166.22,1.6171
166.25,1.5911
166.28,1.3907
166.32,1.5048
166.36,1.6119
166.43,1.5447
166.48,1.5885
166.53,1.5286
166.57,1.4007
166.6,1.2330
166.67,0.9976
166.7,1.0821
166.74,1.2728
166.8,1.4783
166.82,1.5476
166.87,1.1652
166.92,1.3790
166.99,1.5345
167.02,1.5793
167.08,1.7240
167.11,1.2240
167.16,1.4591
167.2,1.5933
167.25,1.4464
167.3,1.3423
167.33,1.6674
167.36,1.4975
167.39,1.3504
167.45,1.5647
167.5,1.4876
167.54,1.4904
167.57,1.4403
167.62,1.0900
167.65,0.9976
167.72,1.3346
167.78,1.7981
167.83,1.3869
168.06,2.5206
168.36,2.7648
168.87,2.5147
169.11,2.5976
169.74,2.5708
169.98,2.5708
170.24,2.7456
170.83,2.6746
171.11,2.7855
171.35,2.5481
171.88,2.5630
172.13,2.5056
172.35,2.5206
172.83,2.6746
173.06,2.5976
173.68,2.5829
173.92,2.6013
174.14,2.5056
174.36,2.4894
174.91,2.4858
175.11,2.3720
175.7,2.5708
175.94,2.6265
176.21,2.7401
176.87,2.6691
177.11,2.5375
177.3,2.4360
177.85,2.6886
178.06,2.4894
178.33,2.6464
178.82,2.6414
179.05,2.5147
179.34,2.6266
179.82,2.5976
180.07,2.5976
180.32,2.6211
180.84,2.5567
181.09,2.6013
181.38,2.7401
181.93,2.6211
182.18,2.6211
182.72,2.6621
182.95,2.4858
183.19,2.5481
183.71,2.7358
183.98,2.7002
184.23,2.5976
184.82,2.6394
185.04,2.4660
185.24,2.4588
185.78,2.6317
186.02,2.5976
186.26,2.4949
186.91,2.6754
187.16,2.5708
187.71,2.6737
187.98,2.6947
188.22,2.5404
188.76,2.6691
189.0,2.6211
189.23,2.4532
189.86,2.6211
190.06,2.4894
190.31,2.5404
190.96,2.6965
191.17,2.4630
191.69,2.7776
191.92,2.5404
192.14,2.4894
192.69,2.5404
192.9,2.4002
193.1,2.4894
193.34,2.5056
193.83,2.4894
194.04,2.4002
194.27,2.5976
194.89,2.5994
195.11,2.4532
195.35,2.5723
195.88,2.6317
196.15,2.6493
196.38,2.5404
196.89,2.5375
197.13,2.5481
197.76,2.5907
198.0,2.5404
198.25,2.4532
198.84,2.6464
199.05,2.4334
199.27,2.5056
199.93,2.6736
200.14,2.4532
200.41,2.6493
200.9,2.5404
201.11,2.4630
201.36,2.6204
201.85,2.6519
202.09,2.4815
202.31,2.5481
202.88,2.4894
203.11,2.4532
203.36,2.6211
203.93,2.7093
204.18,2.5206
204.74,2.4858
204.99,2.6493
205.22,2.5404
205.75,2.5404
205.97,2.5206
206.22,2.6464
206.83,2.4780
207.08,2.6965
207.32,2.4894
207.92,2.6965
208.16,2.5734
208.71,2.4858
208.98,2.7401
209.24,2.6483
209.78,2.6464
210.04,2.6204
210.26,2.5723
210.83,2.5976
211.05,2.4858
211.28,2.5147
211.86,2.5708
212.08,2.5723
212.34,2.5907
212.83,2.5404
213.06,2.4532
213.37,2.8026
213.91,2.6886
214.13,2.4949
214.37,2.5976
214.91,2.5976
215.12,2.4285
215.37,2.6519
215.9,2.6013
216.17,2.5907
216.45,2.6965
216.95,2.7272
217.21,2.6211
217.83,2.6691
218.03,2.5404
218.26,2.5404
218.78,2.5723
219.01,2.4894
219.28,2.6691
219.76,2.6493
219.99,2.5459
220.26,2.6737
220.8,2.6691
